grace,chord,rest,note_Id,duration,voice,type,dot,accidental,stem,staff,default-x,default-y,measure_Id
"","","",0,"60","1","quarter","","","up","1","78.29","-40.00",0
"","","",1,"60","5","quarter","","","","2","","",0
"","","",2,"30","1","eighth","","","up","1","12.00","-25.00",1
"","","",3,"30","1","eighth","","","up","1","50.94","-20.00",1
"","","",4,"60","1","quarter","","","down","1","89.88","-15.00",1
"","","",5,"60","1","quarter","","","down","1","152.18","-15.00",1
"","","",6,"60","5","quarter","","","up","2","12.00","-175.00",1
"","","",7,"60","5","quarter","","","down","2","89.88","-105.00",1
"","","",8,"60","5","quarter","","","down","2","89.88","-95.00",1
"","","",9,"60","5","quarter","","","down","2","89.88","-85.00",1
"","","",10,"60","5","quarter","","","down","2","152.18","-105.00",1
"","","",11,"60","5","quarter","","","down","2","152.18","-95.00",1
"","","",12,"60","5","quarter","","","down","2","152.18","-85.00",1
"","","",13,"30","1","eighth","","","down","1","12.00","-10.00",2
"","","",14,"30","1","eighth","","","down","1","51.01","-5.00",2
"","","",15,"120","1","half","","","down","1","89.65","0.00",2
"","","",16,"60","5","quarter","","","up","2","12.00","-160.00",2
"","","",17,"60","5","quarter","","","down","2","90.02","-105.00",2
"","","",18,"60","5","quarter","","","down","2","90.02","-90.00",2
"","","",19,"60","5","quarter","","","down","2","90.02","-80.00",2
"","","",20,"60","5","quarter","","","down","2","152.43","-105.00",2
"","","",21,"60","5","quarter","","","down","2","152.43","-90.00",2
"","","",22,"60","5","quarter","","","down","2","152.43","-80.00",2
"","","",23,"30","1","eighth","","","down","1","12.00","-20.00",3
"","","",24,"30","1","eighth","","","down","1","49.64","-15.00",3
"","","",25,"30","1","eighth","","","down","1","87.27","-10.00",3
"","","",26,"30","1","eighth","","","down","1","124.91","10.00",3
"","","",27,"30","1","eighth","","","down","1","162.54","5.00",3
"","","",28,"30","1","eighth","","","down","1","200.18","0.00",3
"","","",29,"60","5","quarter","","","up","2","12.00","-145.00",3
"","","",30,"60","5","quarter","","","down","2","87.27","-110.00",3
"","","",31,"60","5","quarter","","","down","2","87.27","-100.00",3
"","","",32,"60","5","quarter","","","down","2","87.27","-80.00",3
"","","",33,"60","5","quarter","","","down","2","162.54","-110.00",3
"","","",34,"60","5","quarter","","","down","2","162.54","-100.00",3
"","","",35,"60","5","quarter","","","down","2","162.54","-80.00",3
"","","",36,"","1","16th","","","up","1","7.75","-5.00",4
"","","",37,"","1","16th","","","up","1","18.72","0.00",4
"","","",38,"30","1","eighth","","","down","1","30.43","-5.00",4
"","","",39,"30","1","eighth","","sharp","down","1","70.79","-10.00",4
"","","",40,"120","1","half","","","down","1","110.79","-5.00",4
"","","",41,"60","5","quarter","","","up","2","30.43","-130.00",4
"","","",42,"60","5","quarter","","","down","2","111.15","-110.00",4
"","","",43,"60","5","quarter","","","down","2","111.15","-95.00",4
"","","",44,"60","5","quarter","","","down","2","111.15","-85.00",4
"","","",45,"60","5","quarter","","","down","2","175.72","-110.00",4
"","","",46,"60","5","quarter","","","down","2","175.72","-95.00",4
"","","",47,"60","5","quarter","","","down","2","175.72","-85.00",4
"","","",48,"30","1","eighth","","","up","1","51.25","-25.00",5
"","","",49,"30","1","eighth","","","up","1","95.81","-20.00",5
"","","",50,"60","1","quarter","","","down","1","140.38","-15.00",5
"","","",51,"60","1","quarter","","","down","1","211.67","-15.00",5
"","","",52,"60","5","quarter","","","up","2","51.25","-140.00",5
"","","",53,"60","5","quarter","","","down","2","140.38","-105.00",5
"","","",54,"60","5","quarter","","","down","2","140.38","-95.00",5
"","","",55,"60","5","quarter","","","down","2","140.38","-85.00",5
"","","",56,"60","5","quarter","","","down","2","211.67","-105.00",5
"","","",57,"60","5","quarter","","","down","2","211.67","-95.00",5
"","","",58,"60","5","quarter","","","down","2","211.67","-85.00",5
"","","",59,"30","1","eighth","","","down","1","12.00","-10.00",6
"","","",60,"30","1","eighth","","","down","1","58.55","-5.00",6
"","","",61,"120","1","half","","","down","1","104.75","0.00",6
"","","",62,"60","5","quarter","","","up","2","12.00","-160.00",6
"","","",63,"60","5","quarter","","","down","2","105.11","-105.00",6
"","","",64,"60","5","quarter","","","down","2","105.11","-90.00",6
"","","",65,"60","5","quarter","","","down","2","105.11","-80.00",6
"","","",66,"60","5","quarter","","","down","2","179.59","-105.00",6
"","","",67,"60","5","quarter","","","down","2","179.59","-90.00",6
"","","",68,"60","5","quarter","","","down","2","179.59","-80.00",6
"","","",69,"30","1","eighth","","","down","1","12.00","-20.00",7
"","","",70,"30","1","eighth","","","down","1","56.18","-15.00",7
"","","",71,"30","1","eighth","","","down","1","100.35","-10.00",7
"","","",72,"30","1","eighth","","","down","1","144.53","10.00",7
"","","",73,"30","1","eighth","","","down","1","188.70","5.00",7
"","","",74,"30","1","eighth","","","down","1","232.88","-20.00",7
"","","",75,"60","5","quarter","","","up","2","12.00","-145.00",7
"","","",76,"60","5","quarter","","","down","2","100.35","-110.00",7
"","","",77,"60","5","quarter","","","down","2","100.35","-100.00",7
"","","",78,"60","5","quarter","","","down","2","100.35","-80.00",7
"","","",79,"60","5","quarter","","","down","2","188.70","-110.00",7
"","","",80,"60","5","quarter","","","down","2","188.70","-100.00",7
"","","",81,"60","5","quarter","","","down","2","188.70","-80.00",7
"","","",82,"60","1","quarter","","","down","1","12.00","-15.00",8
"","","",83,"60","1","quarter","","","","1","","",8
"","","",84,"60","1","quarter","","","up","1","161.33","-40.00",8
"","","",85,"60","5","quarter","","","up","2","12.00","-130.00",8
"","","",86,"60","5","quarter","","","down","2","86.66","-110.00",8
"","","",87,"60","5","quarter","","","down","2","86.66","-95.00",8
"","","",88,"60","5","quarter","","","down","2","86.66","-85.00",8
"","","",89,"60","5","quarter","","","","2","","",8
"","","",90,"30","1","eighth","","","up","1","51.25","-25.00",9
"","","",91,"30","1","eighth","","","up","1","93.72","-20.00",9
"","","",92,"60","1","quarter","","","down","1","136.19","-15.00",9
"","","",93,"60","1","quarter","","","down","1","204.14","-15.00",9
"","","",94,"60","5","quarter","","","up","2","51.25","-140.00",9
"","","",95,"60","5","quarter","","","down","2","136.19","-105.00",9
"","","",96,"60","5","quarter","","","down","2","136.19","-95.00",9
"","","",97,"60","5","quarter","","","down","2","136.19","-85.00",9
"","","",98,"60","5","quarter","","","down","2","204.14","-105.00",9
"","","",99,"60","5","quarter","","","down","2","204.14","-95.00",9
"","","",100,"60","5","quarter","","","down","2","204.14","-85.00",9
"","","",101,"30","1","eighth","","","down","1","12.00","-10.00",10
"","","",102,"30","1","eighth","","","down","1","56.46","-5.00",10
"","","",103,"120","1","half","","","down","1","100.56","0.00",10
"","","",104,"60","5","quarter","","","up","2","12.00","-160.00",10
"","","",105,"60","5","quarter","","","down","2","100.92","-105.00",10
"","","",106,"60","5","quarter","","","down","2","100.92","-90.00",10
"","","",107,"60","5","quarter","","","down","2","100.92","-80.00",10
"","","",108,"60","5","quarter","","","down","2","172.06","-105.00",10
"","","",109,"60","5","quarter","","","down","2","172.06","-90.00",10
"","","",110,"60","5","quarter","","","down","2","172.06","-80.00",10
"","","",111,"30","1","eighth","","","down","1","12.00","-20.00",11
"","","",112,"30","1","eighth","","","down","1","54.36","-15.00",11
"","","",113,"30","1","eighth","","","down","1","96.72","-10.00",11
"","","",114,"30","1","eighth","","","down","1","139.08","10.00",11
"","","",115,"30","1","eighth","","","down","1","181.44","5.00",11
"","","",116,"30","1","eighth","","","down","1","223.81","0.00",11
"","","",117,"60","5","quarter","","","up","2","12.00","-145.00",11
"","","",118,"60","5","quarter","","","down","2","96.72","-110.00",11
"","","",119,"60","5","quarter","","","down","2","96.72","-100.00",11
"","","",120,"60","5","quarter","","","down","2","96.72","-80.00",11
"","","",121,"60","5","quarter","","","down","2","181.44","-110.00",11
"","","",122,"60","5","quarter","","","down","2","181.44","-100.00",11
"","","",123,"60","5","quarter","","","down","2","181.44","-80.00",11
"","","",124,"","1","16th","","","up","1","7.75","-5.00",12
"","","",125,"","1","16th","","","up","1","18.72","0.00",12
"","","",126,"30","1","eighth","","","down","1","30.43","-5.00",12
"","","",127,"30","1","eighth","","sharp","down","1","76.24","-10.00",12
"","","",128,"120","1","half","","","down","1","121.69","-5.00",12
"","","",129,"60","5","quarter","","","up","2","30.43","-130.00",12
"","","",130,"60","5","quarter","","","down","2","122.05","-110.00",12
"","","",131,"60","5","quarter","","","down","2","122.05","-95.00",12
"","","",132,"60","5","quarter","","","down","2","122.05","-85.00",12
"","","",133,"60","5","quarter","","","down","2","195.35","-110.00",12
"","","",134,"60","5","quarter","","","down","2","195.35","-95.00",12
"","","",135,"60","5","quarter","","","down","2","195.35","-85.00",12
"","","",136,"30","1","eighth","","","down","1","51.25","-15.00",13
"","","",137,"30","1","eighth","","","down","1","92.59","-10.00",13
"","","",138,"60","1","quarter","","","down","1","133.93","-5.00",13
"","","",139,"60","1","quarter","","","down","1","200.07","-5.00",13
"","","",140,"60","5","quarter","","","up","2","51.25","-140.00",13
"","","",141,"60","5","quarter","","","down","2","133.93","-105.00",13
"","","",142,"60","5","quarter","","","down","2","133.93","-95.00",13
"","","",143,"60","5","quarter","","","down","2","133.93","-85.00",13
"","","",144,"60","5","quarter","","","down","2","200.07","-105.00",13
"","","",145,"60","5","quarter","","","down","2","200.07","-95.00",13
"","","",146,"60","5","quarter","","","down","2","200.07","-85.00",13
"","","",147,"30","1","eighth","","","down","1","12.00","0.00",14
"","","",148,"30","1","eighth","","","down","1","58.46","5.00",14
"","","",149,"120","1","half","","","down","1","104.57","10.00",14
"","","",150,"60","5","quarter","","","up","2","12.00","-160.00",14
"","","",151,"60","5","quarter","","","down","2","104.93","-105.00",14
"","","",152,"60","5","quarter","","","down","2","104.93","-90.00",14
"","","",153,"60","5","quarter","","","down","2","104.93","-80.00",14
"","","",154,"60","5","quarter","","","down","2","179.27","-105.00",14
"","","",155,"60","5","quarter","","","down","2","179.27","-90.00",14
"","","",156,"60","5","quarter","","","down","2","179.27","-80.00",14
"","","",157,"60","1","quarter","","","down","1","12.00","5.00",15
"","","",158,"30","1","eighth","","sharp","down","1","90.77","0.00",15
"","","",159,"30","1","eighth","","","down","1","140.00","5.00",15
"","","",160,"30","1","eighth","","","down","1","189.23","25.00",15
"","","",161,"30","1","eighth","","natural","down","1","238.46","0.00",15
"","","",162,"60","5","quarter","","","up","2","12.00","-145.00",15
"","","",163,"60","5","quarter","","","down","2","90.77","-110.00",15
"","","",164,"60","5","quarter","","","down","2","90.77","-100.00",15
"","","",165,"60","5","quarter","","","down","2","90.77","-80.00",15
"","","",166,"60","5","quarter","","","down","2","189.23","-110.00",15
"","","",167,"60","5","quarter","","","down","2","189.23","-100.00",15
"","","",168,"60","5","quarter","","","down","2","189.23","-80.00",15
"","","",169,"180","1","half","","","down","1","12.00","-5.00",16
"","","",170,"60","5","quarter","","","up","2","12.36","-130.00",16
"","","",171,"60","5","quarter","","","down","2","89.10","-110.00",16
"","","",172,"60","5","quarter","","","down","2","89.10","-95.00",16
"","","",173,"60","5","quarter","","","down","2","89.10","-85.00",16
"","","",174,"60","5","quarter","","","down","2","165.84","-110.00",16
"","","",175,"60","5","quarter","","","down","2","165.84","-95.00",16
"","","",176,"60","5","quarter","","","down","2","165.84","-85.00",16
"","","",177,"30","1","eighth","","","down","1","69.88","-5.00",17
"","","",178,"30","1","eighth","","sharp","down","1","113.04","0.00",17
"","","",179,"30","1","eighth","","sharp","down","1","156.20","5.00",17
"","","",180,"30","1","eighth","","","down","1","199.36","10.00",17
"","","",181,"30","1","eighth","","","down","1","242.52","15.00",17
"","","",182,"30","1","eighth","","","down","1","285.67","20.00",17
"","","",183,"60","5","quarter","","","up","2","69.88","-155.00",17
"","","",184,"60","5","quarter","","","down","2","156.20","-120.00",17
"","","",185,"60","5","quarter","","","down","2","156.20","-100.00",17
"","","",186,"60","5","quarter","","","down","2","156.20","-90.00",17
"","","",187,"60","5","quarter","","","down","2","242.52","-120.00",17
"","","",188,"60","5","quarter","","sharp","down","2","242.52","-110.00",17
"","","",189,"60","5","quarter","","","down","2","242.52","-90.00",17
"","","",190,"","1","16th","","","up","1","7.75","15.00",18
"","","",191,"","1","16th","","","up","1","26.12","20.00",18
"","","",192,"30","1","eighth","","","down","1","45.23","15.00",18
"","","",193,"30","1","eighth","","","down","1","81.96","10.00",18
"","","",194,"30","1","eighth","","","down","1","118.68","-5.00",18
"","","",195,"30","1","eighth","","","down","1","155.40","15.00",18
"","","",196,"60","1","quarter","","","down","1","192.12","10.00",18
"","","",197,"60","5","quarter","","","up","2","45.23","-140.00",18
"","","",198,"60","5","quarter","","","down","2","118.68","-120.00",18
"","","",199,"60","5","quarter","","","down","2","118.68","-105.00",18
"","","",200,"60","5","quarter","","","down","2","118.68","-95.00",18
"","","",201,"60","5","quarter","","","down","2","192.12","-120.00",18
"","","",202,"60","5","quarter","","","down","2","192.12","-105.00",18
"","","",203,"60","5","quarter","","","down","2","192.12","-95.00",18
"","","",204,"","1","16th","","","up","1","7.75","10.00",19
"","","",205,"","1","16th","","","up","1","26.12","15.00",19
"","","",206,"30","1","eighth","","","down","1","45.23","10.00",19
"","","",207,"30","1","eighth","","sharp","down","1","81.85","5.00",19
"","","",208,"30","1","eighth","","","down","1","118.47","-5.00",19
"","","",209,"30","1","eighth","","","down","1","155.09","0.00",19
"","","",210,"60","1","quarter","","","down","1","191.71","-5.00",19
"","","",211,"60","5","quarter","","","up","2","45.23","-155.00",19
"","","",212,"60","5","quarter","","","down","2","118.47","-120.00",19
"","","",213,"60","5","quarter","","","down","2","118.47","-100.00",19
"","","",214,"60","5","quarter","","","down","2","118.47","-90.00",19
"","","",215,"60","5","quarter","","","down","2","191.71","-120.00",19
"","","",216,"60","5","quarter","","","down","2","191.71","-100.00",19
"","","",217,"60","5","quarter","","","down","2","191.71","-90.00",19
"","","",218,"","1","16th","","","up","1","7.75","-5.00",20
"","","",219,"","1","16th","","","up","1","18.72","0.00",20
"","","",220,"30","1","eighth","","","down","1","30.43","-5.00",20
"","","",221,"30","1","eighth","","","down","1","64.30","-15.00",20
"","","",222,"30","1","eighth","","","down","1","98.16","-25.00",20
"","","",223,"30","1","eighth","","","down","1","132.03","-20.00",20
"","","",224,"60","1","quarter","","","up","1","165.90","-25.00",20
"","","",225,"60","5","quarter","","","up","2","30.43","-140.00",20
"","","",226,"60","5","quarter","","","down","2","98.16","-120.00",20
"","","",227,"60","5","quarter","","","down","2","98.16","-105.00",20
"","","",228,"60","5","quarter","","","down","2","98.16","-95.00",20
"","","",229,"60","5","quarter","","","down","2","165.90","-120.00",20
"","","",230,"60","5","quarter","","","down","2","165.90","-105.00",20
"","","",231,"60","5","quarter","","","down","2","165.90","-95.00",20
"","","",232,"20","1","eighth","","","up","1","51.25","-40.00",21
"","","",233,"20","1","eighth","","sharp","up","1","85.33","-30.00",21
"","","",234,"20","1","eighth","","","up","1","119.42","-20.00",21
"","","",235,"12","1","16th","","","down","1","153.50","-5.00",21
"","","",236,"12","1","16th","","sharp","down","1","184.58","5.00",21
"","","",237,"12","1","16th","","","down","1","208.21","15.00",21
"","","",238,"12","1","16th","","","down","1","231.84","-5.00",21
"","","",239,"12","1","16th","","","down","1","255.48","5.00",21
"","","",240,"45","1","eighth","","","down","1","279.11","15.00",21
"","","",241,"15","1","16th","","","down","1","329.78","20.00",21
"","","",242,"60","5","quarter","","","up","2","51.25","-155.00",21
"","","",243,"60","5","quarter","","","down","2","153.50","-120.00",21
"","","",244,"60","5","quarter","","","down","2","153.50","-100.00",21
"","","",245,"60","5","quarter","","","down","2","153.50","-90.00",21
"","","",246,"60","5","quarter","","","down","2","279.11","-120.00",21
"","","",247,"60","5","quarter","","sharp","down","2","279.11","-110.00",21
"","","",248,"60","5","quarter","","","down","2","279.11","-90.00",21
"","","",249,"","1","16th","","","up","1","7.75","15.00",22
"","","",250,"","1","16th","","","up","1","26.12","20.00",22
"","","",251,"30","1","eighth","","","down","1","45.23","15.00",22
"","","",252,"30","1","eighth","","","down","1","80.39","10.00",22
"","","",253,"30","1","eighth","","","down","1","115.55","-5.00",22
"","","",254,"30","1","eighth","","","down","1","150.70","15.00",22
"","","",255,"60","1","quarter","","","down","1","185.86","10.00",22
"","","",256,"60","5","quarter","","","up","2","45.23","-140.00",22
"","","",257,"60","5","quarter","","","down","2","115.55","-120.00",22
"","","",258,"60","5","quarter","","","down","2","115.55","-105.00",22
"","","",259,"60","5","quarter","","","down","2","115.55","-95.00",22
"","","",260,"60","5","quarter","","","down","2","185.86","-120.00",22
"","","",261,"60","5","quarter","","","down","2","185.86","-105.00",22
"","","",262,"60","5","quarter","","","down","2","185.86","-95.00",22
"","","",263,"","1","16th","","","up","1","7.75","10.00",23
"","","",264,"","1","16th","","","up","1","26.12","15.00",23
"","","",265,"30","1","eighth","","","down","1","45.23","10.00",23
"","","",266,"30","1","eighth","","sharp","down","1","81.71","5.00",23
"","","",267,"30","1","eighth","","","down","1","118.19","-5.00",23
"","","",268,"30","1","eighth","","","down","1","154.68","30.00",23
"","","",269,"60","1","quarter","","","down","1","191.16","30.00",23
"","","",270,"60","5","quarter","","","up","2","45.23","-155.00",23
"","","",271,"60","5","quarter","","","down","2","118.19","-120.00",23
"","","",272,"60","5","quarter","","","down","2","118.19","-100.00",23
"","","",273,"60","5","quarter","","","down","2","118.19","-90.00",23
"","","",274,"60","5","quarter","","","down","2","191.16","-120.00",23
"","","",275,"60","5","quarter","","","down","2","191.16","-100.00",23
"","","",276,"60","5","quarter","","","down","2","191.16","-90.00",23
"","","",277,"120","1","half","","","down","1","12.00","10.00",24
"","","",278,"60","1","quarter","","","","1","","",24
"","","",279,"60","5","quarter","","","up","2","12.36","-140.00",24
"","","",280,"60","5","quarter","","","down","2","69.22","-120.00",24
"","","",281,"60","5","quarter","","","down","2","69.22","-105.00",24
"","","",282,"60","5","quarter","","","down","2","69.22","-95.00",24
"","","",283,"60","5","quarter","","","down","2","126.09","-120.00",24
"","","",284,"60","5","quarter","","","down","2","126.09","-105.00",24
"","","",285,"60","5","quarter","","","down","2","126.09","-95.00",24
"","","",286,"30","1","eighth","","","up","1","69.88","-25.00",25
"","","",287,"30","1","eighth","","","up","1","110.40","-20.00",25
"","","",288,"60","1","quarter","","","down","1","150.92","-15.00",25
"","","",289,"60","1","quarter","","","down","1","215.75","-15.00",25
"","","",290,"60","5","quarter","","","up","2","69.88","-175.00",25
"","","",291,"60","5","quarter","","","down","2","150.92","-105.00",25
"","","",292,"60","5","quarter","","","down","2","150.92","-95.00",25
"","","",293,"60","5","quarter","","","down","2","150.92","-85.00",25
"","","",294,"60","5","quarter","","","down","2","215.75","-105.00",25
"","","",295,"60","5","quarter","","","down","2","215.75","-95.00",25
"","","",296,"60","5","quarter","","","down","2","215.75","-85.00",25
"","","",297,"30","1","eighth","","","down","1","12.00","-10.00",26
"","","",298,"30","1","eighth","","","down","1","55.92","-5.00",26
"","","",299,"120","1","half","","","down","1","99.47","0.00",26
"","","",300,"60","5","quarter","","","up","2","12.00","-160.00",26
"","","",301,"60","5","quarter","","","down","2","99.83","-105.00",26
"","","",302,"60","5","quarter","","","down","2","99.83","-90.00",26
"","","",303,"60","5","quarter","","","down","2","99.83","-80.00",26
"","","",304,"60","5","quarter","","","down","2","170.10","-105.00",26
"","","",305,"60","5","quarter","","","down","2","170.10","-90.00",26
"","","",306,"60","5","quarter","","","down","2","170.10","-80.00",26
"","","",307,"30","1","eighth","","","down","1","12.00","-20.00",27
"","","",308,"30","1","eighth","","","down","1","53.89","-15.00",27
"","","",309,"30","1","eighth","","","down","1","95.78","-10.00",27
"","","",310,"30","1","eighth","","","down","1","137.67","10.00",27
"","","",311,"30","1","eighth","","","down","1","179.56","5.00",27
"","","",312,"30","1","eighth","","","down","1","221.45","0.00",27
"","","",313,"60","5","quarter","","","up","2","12.00","-145.00",27
"","","",314,"60","5","quarter","","","down","2","95.78","-110.00",27
"","","",315,"60","5","quarter","","","down","2","95.78","-100.00",27
"","","",316,"60","5","quarter","","","down","2","95.78","-80.00",27
"","","",317,"60","5","quarter","","","down","2","179.56","-110.00",27
"","","",318,"60","5","quarter","","","down","2","179.56","-100.00",27
"","","",319,"60","5","quarter","","","down","2","179.56","-80.00",27
"","","",320,"","1","16th","","","up","1","7.75","-5.00",28
"","","",321,"","1","16th","","","up","1","18.72","0.00",28
"","","",322,"30","1","eighth","","","down","1","30.43","-5.00",28
